cog_id	count_in_one_cluster	count_over_all_clusters
COG1475===Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	2	6
COG3550===Serine/threonine protein kinase HipA, toxin component of the HipAB toxin-antitoxin module	1	2
COG4972===Tfp pilus assembly protein, ATPase PilM	1	1
COG2308===Uncharacterized conserved protein, circularly permuted ATPgrasp superfamily	1	1
COG2255===Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit	1	1
COG0379===Quinolinate synthase	1	1
COG2944===DNA-binding transcriptional regulator YiaG, XRE-type HTH domain	1	1
COG3549===Plasmid maintenance system killer protein	2	2
COG0789===DNA-binding transcriptional regulator, MerR family	1	1
COG2885===Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	1	1
COG0704===Phosphate uptake regulator	1	1
COG1387===Histidinol phosphatase or related hydrolase of the PHP family	1	1
COG0726===Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	1	1
COG3668===Plasmid stabilization system protein ParE	2	3
COG1569===Predicted nucleic acid-binding protein, contains PIN domain	1	1
COG3041===mRNA-degrading endonuclease (mRNA interferase) YafQ, toxin component of the YafQ-DinJ toxin-antitoxin module	1	3
COG0721===Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	1	1
COG0360===Ribosomal protein S6	1	1
COG2172===Anti-sigma regulatory factor (Ser/Thr protein kinase)	1	1
COG4227===Antirestriction protein ArdC	1	1
COG1261===Flagella basal body P-ring formation protein FlgA	1	1
COG3093===Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain	1	1
COG0751===Glycyl-tRNA synthetase, beta subunit	1	1
COG1875===Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains	1	1
COG0673===Predicted dehydrogenase	1	1
COG3654===Prophage maintenance system killer protein	1	2
COG1692===Calcineurin-like phosphoesterase	1	1
COG0573===ABC-type phosphate transport system, permease component	1	1
COG1596===Periplasmic protein involved in polysaccharide export, contains SLBB domain of the beta-grasp fold	1	1
COG4869===Propanediol utilization protein	1	1
COG2812===DNA polymerase III, gamma/tau subunits	1	1
