cog_id	count_in_one_cluster	count_over_all_clusters
COG0551===ssDNA-binding Zn-finger and Zn-ribbon domains of topoisomerase 1	1	39
COG1724===Predicted RNA binding protein YcfA, dsRBD-like fold, HicA-like mRNA interferase family	1	20
COG4587===ABC-type uncharacterized transport system, permease component	1	4
COG0760===Parvulin-like peptidyl-prolyl isomerase	1	1
COG1012===Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	1	3
COG4172===ABC-type microcin C transport system, duplicated ATPase component YejF	1	2
COG2511===Archaeal Glu-tRNAGln amidotransferase subunit E, contains GAD domain	1	1
COG5078===Ubiquitin-protein ligase	1	14
COG2002===Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module	1	2
COG0745===DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	1	1
COG2018===Predicted regulator of Ras-like GTPase activity, Roadblock/LC7/MglB family	1	1
COG2202===PAS domain	2	12
COG3225===ABC-type uncharacterized transport system involved in gliding motility, auxiliary component	1	1
COG4877===Uncharacterized protein	1	1
COG4251===Bacteriophytochrome (light-regulated signal transduction histidine kinase)	1	1
COG5495===Predicted oxidoreductase, contains short-chain dehydrogenase (SDR) and DUF2520 domains	1	1
COG0322===Excinuclease UvrABC, nuclease subunit	1	2
COG2161===Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family	1	1
COG2084===3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	1	1
COG1853===NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family	1	1
COG5001===Predicted signal transduction protein containing a membrane domain, an EAL and a GGDEF domain	1	1
COG0464===AAA+-type ATPase, SpoVK/Ycf46/Vps4 family	1	8
COG0596===Pimeloyl-ACP methyl ester carboxylesterase	1	3
COG3668===Plasmid stabilization system protein ParE	1	3
COG0119===Isopropylmalate/homocitrate/citramalate synthases	1	2
COG2001===MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity	1	4
COG0863===DNA modification methylase	1	1
COG2710===Nitrogenase molybdenum-iron protein, alpha and beta chains	1	1
COG1651===Protein-disulfide isomerase	1	2
COG0642===Signal transduction histidine kinase	1	6
COG0640===DNA-binding transcriptional regulator, ArsR family	1	4
COG3666===Transposase	1	1
COG4636===Endonuclease, Uma2 family (restriction endonuclease fold)	1	6
COG2319===WD40 repeat	1	3
COG1028===NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	1	2
COG0215===Cysteinyl-tRNA synthetase	1	2
COG0253===Diaminopimelate epimerase	1	1
COG1121===ABC-type Mn2+/Zn2+ transport system, ATPase component	1	3
COG3041===mRNA-degrading endonuclease (mRNA interferase) YafQ, toxin component of the YafQ-DinJ toxin-antitoxin module	1	2
COG4974===Site-specific recombinase XerD	1	7
COG3742===Uncharacterized protein, contains PIN domain	1	3
COG3744===PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)	1	1
COG2978===p-Aminobenzoyl-glutamate transporter AbgT	1	1
COG1132===ABC-type multidrug transport system, ATPase and permease component	1	1
COG0673===Predicted dehydrogenase	1	2
COG0193===Peptidyl-tRNA hydrolase	1	2
COG4956===Uncharacterized conserved protein YacL, contains PIN and TRAM domains	1	1
COG0603===7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	1	11
COG2823===Osmotically-inducible protein OsmY, contains BON domain	1	1
COG1136===ABC-type lipoprotein export system, ATPase component	1	3
COG0726===Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family	1	1
COG2827===Predicted endonuclease, GIY-YIG superfamily	1	1
COG3386===Sugar lactone lactonase YvrE	1	2
COG3177===Fic family protein	1	1
COG2337===mRNA-degrading endonuclease, toxin component of the MazEF toxin-antitoxin module	1	4
COG4105===Outer membrane protein assembly factor BamD, BamD/ComL family	1	1
COG0747===ABC-type transport system, periplasmic component	1	1
COG0550===DNA topoisomerase IA	1	1
COG4456===Virulence-associated protein VagC (function unknown)	1	4
COG2026===mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system	1	6
COG1387===Histidinol phosphatase or related hydrolase of the PHP family	1	2
COG1175===ABC-type sugar transport system, permease component	1	2
COG2849===Antitoxin component YwqK of the YwqJK toxin-antitoxin module	1	1
COG0231===Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	1	1
COG0708===Exonuclease III	1	2
COG1220===ATP-dependent protease HslVU (ClpYQ), ATPase subunit	1	1
COG0224===FoF1-type ATP synthase, gamma subunit	1	3
COG0664===cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	1	1
COG2253===Predicted nucleotidyltransferase component of viral defense system	1	1
COG0183===Acetyl-CoA acetyltransferase	1	1
COG1388===LysM repeat	1	1
COG1475===Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	1	4
COG4354===Uncharacterized protein, contains GBA2_N and DUF608 domains	1	1
COG1186===Protein chain release factor B	1	1
COG1082===Sugar phosphate isomerase/epimerase	1	1
COG0721===Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	1	1
COG0072===Phenylalanyl-tRNA synthetase beta subunit	1	1
COG1959===DNA-binding transcriptional regulator, IscR family	1	1
COG1256===Flagellar hook-associated protein FlgK	1	1
COG2130===NADPH-dependent curcumin reductase CurA	1	1
COG3290===Sensor histidine kinase regulating citrate/malate metabolism	1	2
COG0360===Ribosomal protein S6	1	1
COG1972===Nucleoside permease NupC	1	3
COG2165===Type II secretory pathway, pseudopilin PulG	1	1
COG0017===Aspartyl/asparaginyl-tRNA synthetase	1	1
COG0697===Permease of the drug/metabolite transporter (DMT) superfamily	1	2
COG1596===Periplasmic protein involved in polysaccharide export, contains SLBB domain of the beta-grasp fold	1	1
COG1199===Rad3-related DNA helicase	1	1
COG4099===Predicted peptidase	1	1
COG0803===ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA	1	1
COG0353===Recombinational DNA repair protein RecR	1	1
COG4115===Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family	1	1
COG1802===DNA-binding transcriptional regulator, GntR family	1	1
COG4783===Putative Zn-dependent protease, contains TPR repeats	1	1
COG4635===Protoporphyrinogen IX oxidase, menaquinone-dependent (flavodoxin domain)	1	1
COG1598===Predicted nuclease of the RNAse H fold, HicB family	1	1
COG0480===Translation elongation factor EF-G, a GTPase	1	4
